,companyName,companyNumber,status,link
20,A & J CONTRACTING LIMITED,2569060,Liquidation,https://find-and-update.company-information.service.gov.uk/company/02569060
21,A & S AERIALS (CONTRACTS) LTD,2606139,Dissolved,https://find-and-update.company-information.service.gov.uk/company/02606139
22,A. & J. ELECTRICAL LTD.,2628860,Dissolved,https://find-and-update.company-information.service.gov.uk/company/02628860
23,A & W COMMERCIALS LIMITED,2630625,Active,https://find-and-update.company-information.service.gov.uk/company/02630625
24,A & A COMPUTERS LIMITED,2823675,Active,https://find-and-update.company-information.service.gov.uk/company/02823675
25,A & S MOTORS (LIVERPOOL) LIMITED,2871079,Dissolved,https://find-and-update.company-information.service.gov.uk/company/02871079
26,A&P TYNE (2004),3015261,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03015261
27,A. & S. HEALY LIMITED,3090655,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03090655
28,#NAME?,3203694,Active,https://find-and-update.company-information.service.gov.uk/company/03203694
29,A & T ENGINEERING LIMITED,3254369,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03254369
30,A & K AIR CONDITIONING LTD,3380234,Active,https://find-and-update.company-information.service.gov.uk/company/03380234
31,A & D INSULATIONS LIMITED,3402489,Active,https://find-and-update.company-information.service.gov.uk/company/03402489
32,A & M GROUP LIMITED,3532828,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03532828
33,A. & S. SCHOFIELD BUILDERS LIMITED,3589113,Active,https://find-and-update.company-information.service.gov.uk/company/03589113
34,A.&A.SCAFFOLDING (BURY) LIMITED,3628811,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03628811
35,A & J NETWORK CONSULTANCY LIMITED,3745849,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03745849
36,A & M DAY NURSERIES LIMITED,3758694,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03758694
37,A & G LIMITED,3787520,Active,https://find-and-update.company-information.service.gov.uk/company/03787520
38,A. & A. 2000 LIMITED,3868917,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03868917
39,A & A KITCHENS AND BATHROOMS LTD,3967928,Dissolved,https://find-and-update.company-information.service.gov.uk/company/03967928
0,@A COMPANY LIMITED,4066366,Active,https://find-and-update.company-information.service.gov.uk/company/04066366
1,A & S PINE FURNITURE LIMITED,4067957,Liquidation,https://find-and-update.company-information.service.gov.uk/company/04067957
2,A & J HOGSDEN CONSULTANCY LIMITED,4098848,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04098848
3,A & M (DORSET) LIMITED,4138755,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04138755
4,A&N INTERNATIONAL MEDIA LIMITED,4147978,Dissolved,https://find-and-update.company-information.service.gov.uk/company/04147978
5,A & I KNITWEAR LIMITED,4194354,Liquidation,https://find-and-update.company-information.service.gov.uk/company/04194354
6,A & H PROPERTY DEVELOPMENTS LIMITED,4207447,Active,https://find-and-update.company-information.service.gov.uk/company/04207447
7,A & R SHEET METAL LIMITED,4207808,Active,https://find-and-update.company-information.service.gov.uk/company/04207808
8,A&M MINERALS LIMITED,4213387,Liquidation,https://find-and-update.company-information.service.gov.uk/company/04213387
